,data,DATA,HORA
260,2022-01-16 11:40:00.000,2022-01-31,21:41:59.999
261,2022-01-16 12:05:59.999,2022-01-31,21:41:59.999
262,2022-01-16 12:26:00.000,2022-01-31,21:41:59.999
263,2022-01-16 12:30:00.000,2022-01-31,21:41:59.999
264,2022-01-16 12:30:00.000,2022-01-31,21:41:59.999
265,2022-01-16 13:42:00.000,2022-01-31,21:41:59.999
266,2022-01-16 14:00:00.000,2022-01-31,21:41:59.999
267,2022-01-16 14:05:00.000,2022-01-31,21:41:59.999
268,2022-01-16 14:47:00.000,2022-01-31,21:41:59.999
269,2022-01-16 14:54:00.000,2022-01-31,21:41:59.999
270,2022-01-16 15:21:59.999,2022-01-31,21:41:59.999
271,2022-01-17 03:10:00.000,2022-01-31,21:41:59.999
272,2022-01-17 05:09:00.000,2022-01-31,21:41:59.999
273,2022-01-17 07:57:00.000,2022-01-31,21:41:59.999
274,2022-01-17 09:10:00.000,2022-01-31,21:41:59.999
278,2022-01-17 10:51:00.000,2022-01-31,21:41:59.999
279,2022-01-17 12:59:59.999,2022-01-31,21:41:59.999
280,2022-01-17 13:08:00.000,2022-01-31,21:41:59.999
281,2022-01-17 13:13:59.999,2022-01-31,21:41:59.999
282,2022-01-17 14:20:00.000,2022-01-31,21:41:59.999
283,2022-01-17 14:52:59.999,2022-01-31,21:41:59.999
284,2022-01-17 18:12:59.999,2022-01-31,21:41:59.999
285,2022-01-17 19:44:00.000,2022-01-31,21:41:59.999
286,2022-01-17 22:04:59.999,2022-01-31,21:41:59.999
287,2022-01-18 01:06:59.999,2022-01-31,21:41:59.999
288,2022-01-18 02:34:59.999,2022-01-31,21:41:59.999
289,2022-01-18 08:56:59.999,2022-01-31,21:41:59.999
292,2022-01-18 09:55:00.000,2022-01-31,21:41:59.999
293,2022-01-18 10:31:00.000,2022-01-31,21:41:59.999
295,2022-01-18 11:36:00.000,2022-01-31,21:41:59.999
296,2022-01-18 12:39:59.999,2022-01-31,21:41:59.999
297,2022-01-18 12:59:59.999,2022-01-31,21:41:59.999
298,2022-01-18 13:15:00.000,2022-01-31,21:41:59.999
299,2022-01-18 13:26:59.999,2022-01-31,21:41:59.999
300,2022-01-18 13:40:00.000,2022-01-31,21:41:59.999
301,2022-01-18 14:29:59.999,2022-01-31,21:41:59.999
302,2022-01-18 15:00:00.000,2022-01-31,21:41:59.999
303,2022-01-18 15:32:00.000,2022-01-31,21:41:59.999
304,2022-01-18 15:55:00.000,2022-01-31,21:41:59.999
305,2022-01-18 17:18:00.000,2022-01-31,21:41:59.999
306,2022-01-18 18:30:00.000,2022-01-31,21:41:59.999
307,2022-01-18 19:29:00.000,2022-01-31,21:41:59.999
308,2022-01-19 09:28:59.999,2022-01-31,21:41:59.999
311,2022-01-19 13:42:00.000,2022-01-31,21:41:59.999
312,2022-01-19 14:18:00.000,2022-01-31,21:41:59.999
313,2022-01-19 15:00:00.000,2022-01-31,21:41:59.999
314,2022-01-19 15:45:00.000,2022-01-31,21:41:59.999
315,2022-01-19 16:37:00.000,2022-01-31,21:41:59.999
316,2022-01-19 21:05:59.999,2022-01-31,21:41:59.999
317,2022-01-19 22:24:00.000,2022-01-31,21:41:59.999
318,2022-01-19 22:33:59.999,2022-01-31,21:41:59.999
319,2022-01-20 04:06:59.999,2022-01-31,21:41:59.999
320,2022-01-20 06:25:00.000,2022-01-31,21:41:59.999
321,2022-01-20 07:03:00.000,2022-01-31,21:41:59.999
322,2022-01-20 07:15:59.999,2022-01-31,21:41:59.999
323,2022-01-20 08:00:00.000,2022-01-31,21:41:59.999
324,2022-01-20 08:51:00.000,2022-01-31,21:41:59.999
325,2022-01-20 09:39:00.000,2022-01-31,21:41:59.999
326,2022-01-20 10:06:00.000,2022-01-31,21:41:59.999
328,2022-01-20 11:07:00.000,2022-01-31,21:41:59.999
329,2022-01-20 13:49:59.999,2022-01-31,21:41:59.999
331,2022-01-20 14:06:00.000,2022-01-31,21:41:59.999
332,2022-01-20 14:09:59.999,2022-01-31,21:41:59.999
333,2022-01-20 14:31:00.000,2022-01-31,21:41:59.999
335,2022-01-20 14:56:59.999,2022-01-31,21:41:59.999
336,2022-01-20 15:19:00.000,2022-01-31,21:41:59.999
337,2022-01-20 16:01:00.000,2022-01-31,21:41:59.999
338,2022-01-20 16:24:00.000,2022-01-31,21:41:59.999
339,2022-01-20 16:33:00.000,2022-01-31,21:41:59.999
341,2022-01-20 17:16:59.999,2022-01-31,21:41:59.999
342,2022-01-20 17:22:00.000,2022-01-31,21:41:59.999
344,2022-01-20 18:16:00.000,2022-01-31,21:41:59.999
345,2022-01-20 20:20:59.999,2022-01-31,21:41:59.999
346,2022-01-21 01:42:00.000,2022-01-31,21:41:59.999
348,2022-01-21 02:29:59.999,2022-01-31,21:41:59.999
349,2022-01-21 02:43:00.000,2022-01-31,21:41:59.999
350,2022-01-21 03:14:00.000,2022-01-31,21:41:59.999
351,2022-01-21 03:19:59.999,2022-01-31,21:41:59.999
352,2022-01-21 04:42:00.000,2022-01-31,21:41:59.999
353,2022-01-21 05:58:00.000,2022-01-31,21:41:59.999
354,2022-01-21 10:49:00.000,2022-01-31,21:41:59.999
355,2022-01-21 14:34:59.999,2022-01-31,21:41:59.999
356,2022-01-21 15:39:59.999,2022-01-31,21:41:59.999
357,2022-01-21 16:17:59.999,2022-01-31,21:41:59.999
358,2022-01-21 17:16:59.999,2022-01-31,21:41:59.999
359,2022-01-21 20:11:00.000,2022-01-31,21:41:59.999
360,2022-01-21 20:22:00.000,2022-01-31,21:41:59.999
361,2022-01-21 22:15:00.000,2022-01-31,21:41:59.999
363,2022-01-21 23:16:59.999,2022-01-31,21:41:59.999
364,2022-01-22 01:39:00.000,2022-01-31,21:41:59.999
365,2022-01-22 02:43:00.000,2022-01-31,21:41:59.999
366,2022-01-22 04:10:00.000,2022-01-31,21:41:59.999
367,2022-01-22 07:30:00.000,2022-01-31,21:41:59.999
368,2022-01-22 07:53:00.000,2022-01-31,21:41:59.999
370,2022-01-22 09:05:59.999,2022-01-31,21:41:59.999
371,2022-01-22 09:27:00.000,2022-01-31,21:41:59.999
372,2022-01-22 09:54:00.000,2022-01-31,21:41:59.999
373,2022-01-22 10:06:00.000,2022-01-31,21:41:59.999
